,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,2.907281517982483,6.8,0
1,बाघ,बिल्ली,4.952310025691986,7.0,0
2,किताब,कागज़,4.975151717662811,7.6,0
3,कंप्यूटर,कीबोर्ड,7.1095287799835205,7.6,1
4,कंप्यूटर,इंटरनेट,7.576693296432495,8.0,1
5,विमान,कार,5.671210885047913,6.0,0
6,रेलगाड़ी,कार,6.380332708358765,6.2,1
7,टेलीफोन,संचार,3.8968202471733093,7.6,0
8,टेलीविजन,रेडियो,7.579631805419922,6.4,1
9,मीडिया,रेडियो,3.8633540272712708,5.8,0
10,ब्रेड,मक्खन,7.405226826667786,6.6,1
11,खीरा,आलू,7.60917603969574,5.8,1
12,चिकित्सक,नर्स,6.815500855445862,7.6,1
13,प्रोफ़ेसर,चिकित्सक,4.183706343173981,4.6,0
14,छात्र,प्रोफ़ेसर,4.117801785469055,7.0,0
15,होशियार,छात्र,0.958930104970932,5.2,0
16,होशियार,बेवकूफ,5.665163993835449,6.2,0
17,किताब,पुस्तकालय,2.7171656489372253,7.6,0
18,बैंक,पैसे,3.7189343571662903,8.0,0
19,लकड़ी,जंगल,4.945583939552307,7.0,0
20,प्रोफ़ेसर,खीरा,0.1924549974501133,0.0,0
21,राजा,रानी,6.203163266181946,8.2,1
22,बिशप,रबी,-0.7920496910810471,7.0,0
23,यरूशलेम,इजराइल,4.77280855178833,7.8,0
24,पवित्र,सेक्स,0.9219296276569366,1.0,0
25,माराडोना,फ़ुटबॉल,6.648805737495422,7.8,1
26,फ़ुटबॉल,सॉकर,8.329903483390808,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.287212610244751,6.4,1
28,फ़ुटबॉल,टेनिस,7.290949821472168,5.8,1
29,टेनिस,रैकेट,2.6880577206611633,7.4,0
30,कानून,वकील,3.4623491764068604,7.8,0
31,चलचित्र,पॉपकॉर्न,1.8384401500225067,6.6,0
32,चलचित्र,आलोचक,2.2521238029003143,6.6,0
33,चलचित्र,थिएटर,4.24925684928894,8.4,0
34,पीना,कार,0.0632373383268714,1.4,0
35,पीना,कान,0.8611553907394409,0.4,0
36,पीना,मुंह,1.8902435898780823,7.0,0
37,बच्चा,मां,4.881158769130707,7.2,0
38,पीना,मां,1.7110486328601837,1.8,0
39,मणि,गहना,2.9077082872390747,6.8,0
40,भट्ठी,स्टोव,7.090319395065308,8.4,1
41,भोजन,फल,5.5765920877456665,6.6,0
42,पक्षी,सारस,8.298599123954773,7.4,1
43,भाई,साधु,1.9574221968650818,1.4,0
44,यात्रा,कार,3.0940473079681396,6.2,0
45,साधु,गुलाम,1.8205593526363373,0.2,0
46,कांच,जादूगर,2.560524344444275,2.0,0
47,पैसे,मुद्रा,2.1680492162704468,8.6,0
48,पैसे,धन,6.089305877685547,9.2,1
49,पैसे,संपत्ति,4.108520150184631,8.4,0
50,पैसे,बैंक,3.7189343571662903,8.2,0
51,पैसे,जमा,3.572857677936554,6.6,0
52,पैसे,ऑपरेशन,0.9393738210201263,2.6,0
53,बाघ,जैगुआर,2.116687446832657,8.0,0
54,बाघ,जानवर,6.60755455493927,7.6,1
55,बाघ,चिड़ियाघर,5.781770348548889,6.8,0
56,मनोविज्ञान,चिंता,1.3594135642051697,6.2,0
57,मनोविज्ञान,डर,-0.8221648633480072,5.2,0
58,मनोविज्ञान,डिप्रेशन,2.7985340356826782,7.0,0
59,मनोविज्ञान,क्लिनिक,2.2576476633548737,6.4,0
60,मनोविज्ञान,चिकित्सक,3.8230037689208984,7.0,0
61,मनोविज्ञान,मन,2.053753137588501,7.4,0
62,मनोविज्ञान,स्वास्थ्य,3.7996268272399902,6.2,0
63,मनोविज्ञान,विज्ञान,7.578861713409424,7.0,1
64,मनोविज्ञान,अनुशासन,4.584106802940369,4.2,0
65,",",Accuracy,=,0.4461538461538462,
