,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,4.330525515682615,6.8,0
1,बाघ,बिल्ली,5.9965347321161975,7.0,1
2,किताब,कागज़,6.407840596167475,7.6,1
3,कंप्यूटर,कीबोर्ड,6.321789173646061,7.6,1
4,कंप्यूटर,इंटरनेट,7.983269038764391,8.0,1
5,विमान,कार,7.168454215733389,6.0,1
6,रेलगाड़ी,कार,6.551093580696056,6.2,1
7,टेलीफोन,संचार,5.788380860275756,7.6,1
8,टेलीविजन,रेडियो,7.840642087928095,6.4,1
9,मीडिया,रेडियो,6.534088872812673,5.8,1
10,ब्रेड,मक्खन,6.941811266461263,6.6,1
11,खीरा,आलू,6.7593844105463905,5.8,1
12,चिकित्सक,नर्स,7.424001615115943,7.6,1
13,प्रोफ़ेसर,चिकित्सक,5.708070919917191,4.6,1
14,छात्र,प्रोफ़ेसर,5.271255087557389,7.0,1
15,होशियार,छात्र,4.5787952491149,5.2,0
16,होशियार,बेवकूफ,6.331541638269977,6.2,1
17,किताब,पुस्तकालय,4.834225083043183,7.6,0
18,बैंक,पैसे,6.667359443842779,8.0,1
19,लकड़ी,जंगल,6.436089425758054,7.0,1
20,प्रोफ़ेसर,खीरा,-0.10984559597152735,0.0,0
21,राजा,रानी,7.50250160421301,8.2,1
22,बिशप,रबी,0.7675898883789921,7.0,0
23,यरूशलेम,इजराइल,5.4814918599869475,7.8,1
24,पवित्र,सेक्स,4.157187957846371,1.0,0
25,माराडोना,फ़ुटबॉल,4.078155523780667,7.8,0
26,फ़ुटबॉल,सॉकर,7.987559478759987,9.0,1
27,फ़ुटबॉल,बास्केटबाल,6.704593460826134,6.4,1
28,फ़ुटबॉल,टेनिस,6.75037795359247,5.8,1
29,टेनिस,रैकेट,4.488102224094883,7.4,0
30,कानून,वकील,6.453000409807625,7.8,1
31,चलचित्र,पॉपकॉर्न,1.6246275004196156,6.6,0
32,चलचित्र,आलोचक,4.131037789234436,6.6,0
33,चलचित्र,थिएटर,5.338535630086323,8.4,1
34,पीना,कार,2.471587128667906,1.4,0
35,पीना,कान,4.376610573019111,0.4,0
36,पीना,मुंह,4.646349850259819,7.0,0
37,बच्चा,मां,7.309494708307288,7.2,1
38,पीना,मां,4.227932408837874,1.8,0
39,मणि,गहना,3.514596796963713,6.8,0
40,भट्ठी,स्टोव,6.3284045669575875,8.4,1
41,भोजन,फल,7.6459746234772705,6.6,1
42,पक्षी,सारस,7.725168251616218,7.4,1
43,भाई,साधु,4.921555571843182,1.4,0
44,यात्रा,कार,5.762995881376023,6.2,1
45,साधु,गुलाम,3.3390106767391488,0.2,0
46,कांच,जादूगर,3.3260641342839166,2.0,0
47,पैसे,मुद्रा,6.11683058755443,8.6,1
48,पैसे,धन,7.875886551570931,9.2,1
49,पैसे,संपत्ति,6.881062616732143,8.4,1
50,पैसे,बैंक,6.667359443842779,8.2,1
51,पैसे,जमा,7.13836920721631,6.6,1
52,पैसे,ऑपरेशन,3.5368560282927506,2.6,0
53,बाघ,जैगुआर,2.737265808139705,8.0,0
54,बाघ,जानवर,7.750575951461415,7.6,1
55,बाघ,चिड़ियाघर,6.412073878855111,6.8,1
56,मनोविज्ञान,चिंता,4.3711064330432166,6.2,0
57,मनोविज्ञान,डर,3.298727341824547,5.2,0
58,मनोविज्ञान,डिप्रेशन,4.4167308096922095,7.0,0
59,मनोविज्ञान,क्लिनिक,4.531776039899988,6.4,0
60,मनोविज्ञान,चिकित्सक,6.0107992962184245,7.0,1
61,मनोविज्ञान,मन,3.8086677788167957,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.971482020670134,6.2,1
63,मनोविज्ञान,विज्ञान,8.304848531739678,7.0,1
64,मनोविज्ञान,अनुशासन,6.143223472503144,4.2,1
65,",",Accuracy,=,0.7230769230769231,
