,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,4.5561206340789795,6.8,0
1,बाघ,बिल्ली,6.995612978935242,7.0,1
2,किताब,कागज़,6.16740882396698,7.6,1
3,कंप्यूटर,कीबोर्ड,7.387562394142151,7.6,1
4,कंप्यूटर,इंटरनेट,8.13294231891632,8.0,1
5,विमान,कार,7.317672967910767,6.0,1
6,रेलगाड़ी,कार,7.450868487358093,6.2,1
7,टेलीफोन,संचार,6.053940653800964,7.6,1
8,टेलीविजन,रेडियो,8.331559300422668,6.4,1
9,मीडिया,रेडियो,6.608157753944397,5.8,1
10,ब्रेड,मक्खन,7.836548089981079,6.6,1
11,खीरा,आलू,8.782091736793518,5.8,1
12,चिकित्सक,नर्स,7.488391399383545,7.6,1
13,प्रोफ़ेसर,चिकित्सक,5.749286413192749,4.6,0
14,छात्र,प्रोफ़ेसर,5.532458424568176,7.0,0
15,होशियार,छात्र,5.035465955734253,5.2,0
16,होशियार,बेवकूफ,6.357782483100891,6.2,1
17,किताब,पुस्तकालय,5.051687955856323,7.6,0
18,बैंक,पैसे,6.151033639907837,8.0,1
19,लकड़ी,जंगल,6.185672879219055,7.0,1
20,प्रोफ़ेसर,खीरा,0.7584115862846375,0.0,0
21,राजा,रानी,7.287682294845581,8.2,1
22,बिशप,रबी,0.5780582129955292,7.0,0
23,यरूशलेम,इजराइल,5.906175971031189,7.8,0
24,पवित्र,सेक्स,2.598040997982025,1.0,0
25,माराडोना,फ़ुटबॉल,8.157987594604492,7.8,1
26,फ़ुटबॉल,सॉकर,8.859202861785889,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.552269697189331,6.4,1
28,फ़ुटबॉल,टेनिस,8.141264915466309,5.8,1
29,टेनिस,रैकेट,5.473046898841858,7.4,0
30,कानून,वकील,5.8147889375686646,7.8,0
31,चलचित्र,पॉपकॉर्न,3.776335120201111,6.6,0
32,चलचित्र,आलोचक,4.107886850833893,6.6,0
33,चलचित्र,थिएटर,6.0516357421875,8.4,1
34,पीना,कार,2.7156102657318115,1.4,0
35,पीना,कान,4.698448181152344,0.4,0
36,पीना,मुंह,5.286826491355896,7.0,0
37,बच्चा,मां,6.1274003982543945,7.2,1
38,पीना,मां,3.8894084095954895,1.8,0
39,मणि,गहना,4.162649214267731,6.8,0
40,भट्ठी,स्टोव,7.859680652618408,8.4,1
41,भोजन,फल,7.075401544570923,6.6,1
42,पक्षी,सारस,8.990167379379272,7.4,1
43,भाई,साधु,4.486232697963715,1.4,0
44,यात्रा,कार,5.377228856086731,6.2,0
45,साधु,गुलाम,3.4327036142349243,0.2,0
46,कांच,जादूगर,4.556710422039032,2.0,0
47,पैसे,मुद्रा,5.651423335075378,8.6,0
48,पैसे,धन,7.1551841497421265,9.2,1
49,पैसे,संपत्ति,6.420890688896179,8.4,1
50,पैसे,बैंक,6.151033639907837,8.2,1
51,पैसे,जमा,6.218356490135193,6.6,1
52,पैसे,ऑपरेशन,3.837069571018219,2.6,0
53,बाघ,जैगुआर,4.950258731842041,8.0,0
54,बाघ,जानवर,7.7931517362594604,7.6,1
55,बाघ,चिड़ियाघर,7.320681214332581,6.8,1
56,मनोविज्ञान,चिंता,4.206216335296631,6.2,0
57,मनोविज्ञान,डर,2.8740528225898743,5.2,0
58,मनोविज्ञान,डिप्रेशन,5.141924023628235,7.0,0
59,मनोविज्ञान,क्लिनिक,5.18187940120697,6.4,0
60,मनोविज्ञान,चिकित्सक,6.0052889585494995,7.0,1
61,मनोविज्ञान,मन,4.590187966823578,7.4,0
62,मनोविज्ञान,स्वास्थ्य,5.5845218896865845,6.2,0
63,मनोविज्ञान,विज्ञान,8.348416686058044,7.0,1
64,मनोविज्ञान,अनुशासन,6.813350319862366,4.2,1
65,",",Accuracy,=,0.6461538461538462,
